Date_Time,Year,Month,Value,Anom,ID,Value_lm,Anom_lm,Units
15-MAR-1958 23:39,1958,3,315.7,314.43,CO2,NA,NA,ppm
16-APR-1958 00:15,1958,4,317.45,315.16,CO2,NA,NA,ppm
16-MAY-1958 00:19,1958,5,317.51,314.71,CO2,NA,NA,ppm
16-JUN-1958 00:02,1958,6,317.24,315.14,CO2,NA,NA,ppm
16-JUL-1958 00:07,1958,7,315.86,315.18,CO2,NA,NA,ppm
15-AUG-1958 23:50,1958,8,314.93,316.18,CO2,NA,NA,ppm
15-SEP-1958 23:34,1958,9,313.2,316.08,CO2,NA,NA,ppm
15-OCT-1958 23:38,1958,10,312.43,315.41,CO2,NA,NA,ppm
16-NOV-1958 00:14,1958,11,313.33,315.2,CO2,NA,NA,ppm
16-DEC-1958 00:18,1958,12,314.67,315.43,CO2,NA,NA,ppm
16-JAN-1959 00:02,1959,1,315.58,315.55,CO2,NA,NA,ppm
15-FEB-1959 23:45,1959,2,316.48,315.86,CO2,NA,NA,ppm
15-MAR-1959 23:39,1959,3,316.65,315.38,CO2,NA,NA,ppm
16-APR-1959 00:15,1959,4,317.72,315.41,CO2,NA,NA,ppm
16-MAY-1959 00:19,1959,5,318.29,315.49,CO2,NA,NA,ppm
16-JUN-1959 00:02,1959,6,318.15,316.03,CO2,NA,NA,ppm
16-JUL-1959 00:07,1959,7,316.54,315.86,CO2,NA,NA,ppm
15-AUG-1959 23:50,1959,8,314.8,316.06,CO2,NA,NA,ppm
15-SEP-1959 23:34,1959,9,313.84,316.73,CO2,NA,NA,ppm
15-OCT-1959 23:38,1959,10,313.33,316.33,CO2,NA,NA,ppm
16-NOV-1959 00:14,1959,11,314.81,316.68,CO2,NA,NA,ppm
16-DEC-1959 00:18,1959,12,315.58,316.35,CO2,NA,NA,ppm
16-JAN-1960 00:08,1960,1,316.43,316.4,CO2,NA,NA,ppm
16-FEB-1960 00:08,1960,2,316.98,316.36,CO2,NA,NA,ppm
15-MAR-1960 23:50,1960,3,317.58,316.28,CO2,NA,NA,ppm
15-APR-1960 23:50,1960,4,319.03,316.7,CO2,NA,NA,ppm
16-MAY-1960 00:08,1960,5,320.04,317.22,CO2,NA,NA,ppm
16-JUN-1960 00:08,1960,6,319.59,317.47,CO2,NA,NA,ppm
16-JUL-1960 00:25,1960,7,318.18,317.52,CO2,NA,NA,ppm
16-AUG-1960 00:25,1960,8,315.9,317.19,CO2,NA,NA,ppm
16-SEP-1960 00:26,1960,9,314.17,317.08,CO2,NA,NA,ppm
15-OCT-1960 23:50,1960,10,313.83,316.83,CO2,NA,NA,ppm
15-NOV-1960 23:51,1960,11,315,316.88,CO2,NA,NA,ppm
16-DEC-1960 00:08,1960,12,316.19,316.96,CO2,NA,NA,ppm
16-JAN-1961 00:02,1961,1,316.89,316.86,CO2,NA,NA,ppm
15-FEB-1961 23:45,1961,2,317.7,317.08,CO2,NA,NA,ppm
15-MAR-1961 23:39,1961,3,318.54,317.26,CO2,NA,NA,ppm
16-APR-1961 00:15,1961,4,319.48,317.16,CO2,NA,NA,ppm
16-MAY-1961 00:19,1961,5,320.58,317.76,CO2,NA,NA,ppm
16-JUN-1961 00:02,1961,6,319.77,317.63,CO2,NA,NA,ppm
16-JUL-1961 00:07,1961,7,318.57,317.88,CO2,NA,NA,ppm
15-AUG-1961 23:50,1961,8,316.79,318.06,CO2,NA,NA,ppm
15-SEP-1961 23:34,1961,9,314.99,317.9,CO2,NA,NA,ppm
15-OCT-1961 23:38,1961,10,315.31,318.32,CO2,NA,NA,ppm
16-NOV-1961 00:14,1961,11,316.1,317.99,CO2,NA,NA,ppm
16-DEC-1961 00:18,1961,12,317.01,317.79,CO2,NA,NA,ppm
16-JAN-1962 00:02,1962,1,317.94,317.91,CO2,NA,NA,ppm
15-FEB-1962 23:45,1962,2,318.55,317.92,CO2,NA,NA,ppm
15-MAR-1962 23:39,1962,3,319.68,318.39,CO2,NA,NA,ppm
16-APR-1962 00:15,1962,4,320.57,318.24,CO2,NA,NA,ppm
16-MAY-1962 00:19,1962,5,321.02,318.18,CO2,NA,NA,ppm
16-JUN-1962 00:02,1962,6,320.62,318.47,CO2,NA,NA,ppm
16-JUL-1962 00:07,1962,7,319.61,318.92,CO2,NA,NA,ppm
15-AUG-1962 23:50,1962,8,317.4,318.68,CO2,NA,NA,ppm
15-SEP-1962 23:34,1962,9,316.25,319.17,CO2,NA,NA,ppm
15-OCT-1962 23:38,1962,10,315.42,318.45,CO2,NA,NA,ppm
16-NOV-1962 00:14,1962,11,316.69,318.58,CO2,NA,NA,ppm
16-DEC-1962 00:18,1962,12,317.7,318.47,CO2,NA,NA,ppm
16-JAN-1963 00:02,1963,1,318.74,318.7,CO2,NA,NA,ppm
15-FEB-1963 23:45,1963,2,319.07,318.44,CO2,NA,NA,ppm
15-MAR-1963 23:39,1963,3,319.86,318.57,CO2,NA,NA,ppm
16-APR-1963 00:15,1963,4,321.38,319.05,CO2,NA,NA,ppm
